Species,Lucerne,Lucerne,Lucerne,Lucerne,Ryegrass,Ryegrass,Ryegrass,Ryegrass
2012-05-02,0.8158486023037377,0.9836782956715869,0.9857185087126386,0.9846984021921127,1.0,1.0,1.0,1.0
2012-05-03,0.8107341937058095,0.9829135242924575,0.9850493337559003,0.983981429024179,1.0,1.0,1.0,1.0
2012-05-04,0.799784392695575,0.9812761708703663,0.9836166495115706,0.9824464101909685,1.0,1.0,1.0,1.0
2012-05-05,0.7882306458262633,0.9795485077871048,0.9821049443137166,0.9808267260504107,1.0,1.0,1.0,1.0
2012-05-06,0.7767946871555541,0.9778384578924193,0.9806086506558669,0.9792235542741431,1.0,1.0,1.0,1.0
2012-05-07,0.7649310898020201,0.9760644620264702,0.9790564042731615,0.9775604331498159,1.0,1.0,1.0,1.0
2012-05-08,0.7533608375800381,0.9743343308530898,0.9775425394964536,0.9759384351747717,1.0,1.0,1.0,1.0
2012-05-09,0.7428941932570656,0.9727692251599351,0.9761730720149432,0.9744711485874391,1.0,1.0,1.0,1.0
2012-05-10,0.7327043887129752,0.9712455160692298,0.9748398265605761,0.973042671314903,1.0,1.0,1.0,1.0
2012-05-11,0.723470394137164,0.9698647318335946,0.9736316403543952,0.9717481860939949,1.0,1.0,1.0,1.0
2012-05-12,0.7137960067423731,0.9684180944661492,0.9723658326578806,0.9703919635620148,1.0,1.0,1.0,1.0
2012-05-13,0.6987168665913146,0.9661632697706638,0.970392861049331,0.9682780654099974,1.0,1.0,1.0,1.0
2012-05-14,0.6850511848234889,0.9641198033380918,0.9686048279208302,0.966362315629461,1.0,1.0,1.0,1.0
2012-05-15,0.6747623481633761,0.9625812857066731,0.9672586249933389,0.964919955350006,1.0,1.0,1.0,1.0
2012-05-16,0.6674782359325877,0.9614920726628169,0.9663055635799647,0.9638988181213908,1.0,1.0,1.0,1.0
2012-05-17,0.6575000000000001,0.96,0.9650000000000001,0.9624999999999999,1.0,1.0,1.0,1.0
2012-05-18,0.6575000000000001,0.96,0.9650000000000001,0.9624999999999999,1.0,1.0,1.0,1.0
2012-05-19,0.6575000000000001,0.96,0.9650000000000001,0.9624999999999999,1.0,1.0,1.0,1.0
2012-05-20,0.6575000000000001,0.96,0.9650000000000001,0.9624999999999999,1.0,1.0,1.0,1.0
2012-05-21,0.6575000000000001,0.96,0.9650000000000001,0.9624999999999999,1.0,1.0,1.0,1.0
2012-05-22,0.6575000000000001,0.96,0.9650000000000001,0.9624999999999999,1.0,1.0,1.0,1.0
2012-05-23,0.05,0.05,0.05,0.05,0.45,0.45,0.45,0.45
2012-05-24,0.05891396128712325,0.056970315592938484,0.05670222653167162,0.055864448215212664,0.4573054269195221,0.45737244918483877,0.45737244918483877,0.45737244918483877
2012-05-25,0.06787783497812354,0.06397966043402141,0.06344198118655905,0.061761733538239175,0.4646517594933494,0.464786179305215,0.464786179305215,0.464786179305215
2012-05-26,0.07839687409518328,0.07220507448044407,0.07135103315427313,0.068682154009989,0.47327262613815774,0.47348613646970045,0.47348613646970045,0.47348613646970045
2012-05-27,0.09450807267292724,0.08480330494725138,0.08346471629543402,0.07928162675850478,0.4864765407620231,0.48681118792497746,0.48681118792497746,0.48681118792497746
2012-05-28,0.10387978324297496,0.09213155982909321,0.09051111522028193,0.08544722581774669,0.49415711559010733,0.49456222674231015,0.49456222674231015,0.49456222674231015
2012-05-29,0.1074688469788012,0.09493804575785958,0.09320965938255729,0.08780845195973763,0.49709852872698745,0.49753062532081305,0.49753062532081305,0.49753062532081305
2012-05-30,0.11418666249534025,0.10019107443244651,0.09826064849273702,0.09222806743114492,0.5026041068570833,0.5030867133420107,0.5030867133420107,0.5030867133420107
2012-05-31,0.12151393473290244,0.10592067076858536,0.10376987573902438,0.09704864127164634,0.5086091645555366,0.5091468633129268,0.5091468633129268,0.5091468633129268
2012-06-01,0.12840250321007313,0.11130722055524517,0.10894925053388957,0.1015805942171534,0.5142546830819397,0.5148441755872786,0.5148441755872786,0.5148441755872786
2012-06-02,0.13505464451098476,0.11650889495595802,0.11395086053457501,0.10595700296775314,0.5197064379826869,0.5203459465880326,0.5203459465880326,0.5203459465880326
2012-06-03,0.14407762499604984,0.1235644586435277,0.1207350563880074,0.11189317433950648,0.527101211462928,0.5278085620268081,0.5278085620268081,0.5278085620268081
2012-06-04,0.15083681526843404,0.1288498405106552,0.12581715433716845,0.11634001004502242,0.5326406982275137,0.5333988697708854,0.5333988697708854,0.5333988697708854
2012-06-05,0.1597606276879017,0.13582785924467503,0.13252678773526444,0.12221093926835641,0.5399541986314382,0.5407794665087909,0.5407794665087909,0.5407794665087909
2012-06-06,0.1607142172988132,0.13657352330132763,0.1332437724051227,0.12283830085448239,0.5407357119215839,0.541568149645635,0.541568149645635,0.541568149645635
2012-06-07,0.15955572413514338,0.13566763391018732,0.13237272491364166,0.12207613429943645,0.5397862701558694,0.5406099974050058,0.5406099974050058,0.5406099974050058
2012-06-08,0.16553273449940445,0.14034138637547416,0.13686671766872516,0.12600837796013453,0.5446847222589104,0.5455533894355977,0.5455533894355977,0.5455533894355977
2012-06-09,0.17157213536851118,0.1450639254009411,0.14140762057782796,0.12998166800559946,0.5496343064298326,0.5505483826356108,0.5505483826356108,0.5505483826356108
2012-06-10,0.17690159796668484,0.14923132472582878,0.1454147353132969,0.13348789339913478,0.5540020614914937,0.5549562088446266,0.5549562088446266,0.5549562088446266
2012-06-11,0.18190203274456468,0.15314143913860698,0.14917446071019902,0.13677765312142415,0.5581001621741171,0.559091906781219,0.559091906781219,0.559091906781219
2012-06-12,0.18673828198337555,0.1569231678666997,0.1528107383333651,0.13995939604169444,0.5620637047833679,0.5630918121667016,0.5630918121667016,0.5630918121667016
2012-06-13,0.19458503726655205,0.16305897650918355,0.15871055433575343,0.14512173504378423,0.5684945042259713,0.5695816097693288,0.5695816097693288,0.5695816097693288
2012-06-14,0.19983897451675386,0.1671673184191158,0.16266088309530366,0.14857827270839072,0.572800362573881,0.5739269714048341,0.5739269714048341,0.5739269714048341
2012-06-15,0.20389041687881565,0.1703353635744122,0.16570708036001175,0.1512436953150103,0.5761207175924128,0.577277788396013,0.577277788396013,0.577277788396013
2012-06-16,0.20766865450386657,0.1732897749503919,0.16854786052922302,0.15372937796307012,0.5792171679768532,0.5804026465821454,0.5804026465821454,0.5804026465821454
2012-06-17,0.2097019282196943,0.1748797032695354,0.17007663775916865,0.15506705803927257,0.5808835351574939,0.5820843015350856,0.5820843015350856,0.5820843015350856
2012-06-18,0.212701269647403,0.1772250529573678,0.1723317816897767,0.15704030897855464,0.5833416420418567,0.5845649598587545,0.5845649598587545,0.5845649598587545
2012-06-19,0.21727219505507828,0.18079931041900854,0.17576856771058513,0.16004749674676202,0.5870877388045379,0.5883454244816437,0.5883454244816437,0.5883454244816437
2012-06-20,0.2237358513571386,0.18585359805370238,0.1806284596670215,0.16429990220864382,0.5923850210370534,0.5936913056337236,0.5936913056337236,0.5936913056337236
2012-06-21,0.22924788827475673,0.19016376225996015,0.18477284832688473,0.16792624228602415,0.5969024046763045,0.5982501331595733,0.5982501331595733,0.5982501331595733
2012-06-22,0.23424503934185475,0.1940713089590444,0.18853010476831186,0.1712138416722729,0.60099781419746,0.6023831152451431,0.6023831152451431,0.6023831152451431
2012-06-23,0.24672576727970885,0.20383067516608816,0.19791411073662324,0.17942484689454533,0.6112263807029193,0.6127055218102856,0.6127055218102856,0.6127055218102856
2012-06-24,0.2522896868276724,0.20818140924870623,0.20209750889298678,0.18308532028136343,0.6157862846933556,0.6173072597822855,0.6173072597822855,0.6173072597822855
2012-06-25,0.2583941051702507,0.21295478900530884,0.20668729712048928,0.1871013849804281,0.6207891538613334,0.6223560268325382,0.6223560268325382,0.6223560268325382
2012-06-26,0.2646843815430544,0.21787350135697486,0.21141682822786045,0.1912397246993779,0.625944342768368,0.6275585110506465,0.6275585110506465,0.6275585110506465
2012-06-27,0.2670841173820844,0.21974998652433667,0.21322114088878522,0.1928184982776871,0.627911043568776,0.6295432549776638,0.6295432549776638,0.6295432549776638
2012-06-28,0.272716994856457,0.22415464259452283,0.2174563871101181,0.19652433872135336,0.6325274619500287,0.6342020258211299,0.6342020258211299,0.6342020258211299
2012-06-29,0.27763402338048987,0.22799953707948084,0.22115340103796233,0.19975922590821704,0.636557207131379,0.6382687411417586,0.6382687411417586,0.6382687411417586
2012-06-30,0.27965481899534894,0.2295797080865887,0.22267279623710448,0.20108869670746646,0.638213347898444,0.639940075860815,0.639940075860815,0.639940075860815
